url,title,channel,video_id,duration_minutes,width,height,fps,source_type,expected_accent,visual_quality_score,audio_quality_score,context_score,total_score,visual_decision,audio_decision,decision,reasons,recommended_use,usable_minutes_estimate,accepted_clips_estimate,uncertainty
https://www.youtube.com/watch?v=3tmLBV115Ws,"Autismo, del que no se nota | Valentín Muro en Aprender de Grandes",Aprender de Grandes,3tmLBV115Ws,29.35,640,360,30,podcast,argentino/rioplatense_probable,79.91,94.21,98.0,87.82,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|formato_podcast|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_alto|asr_espanol_y_habla_confirmados,manual_review,4.93,59.0,low
https://www.youtube.com/watch?v=XygzWpjcGdU,La entrevista completa de Luis Majul con Javier Milei (05/10/2025),LA NACION,XygzWpjcGdU,74.7,640,360,30,interview,argentino/rioplatense_probable,82.6,87.88,98.0,87.26,accept,accept,maybe_review,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|multi_face_rate_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|sin_minutos_utiles_estimados,manual_review,0.0,0.0,low
https://www.youtube.com/watch?v=MQXeQFI_KU4,La Argentina y las perspectivas de la economía global,Universidad Torcuato Di Tella,MQXeQFI_KU4,75.333,640,360,30,educational,argentino/rioplatense_probable,78.43,93.33,98.0,86.81,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|formato_educational|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_proxy_suficiente|asr_espanol_y_habla_confirmados,manual_review,8.27,99.0,low
https://www.youtube.com/watch?v=19wIlrs4jx4,DIEZ AÑOS DE PONTIFICADO  | El Papa Francisco mano a mano con Jorge Fontevecchia | COMPLETO,Perfil,19wIlrs4jx4,144.433,640,360,25,interview,argentino/rioplatense_probable,83.78,84.32,98.0,86.79,accept,accept,maybe_review,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados|source_cap_applied_backup,manual_review,0.0,0,low
https://www.youtube.com/watch?v=dB4HR5WpYZc,“La primera estrella” retrata la hazaña uruguaya que cambió la visión sobre el fútbol rioplatense,En Perspectiva + VIDEO ,dB4HR5WpYZc,25.783,640,360,30,podcast,argentino/rioplatense_probable,72.56,98.7,98.0,85.49,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|formato_podcast|fuente_argentina_probable|perfil_extremo_proxy|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|asr_espanol_y_habla_confirmados,manual_review,3.41,41.0,low
https://www.youtube.com/watch?v=W0yLfgivFP4,"Felipe Pigna: ""Cada vez admiro más a San Martín"" | Caja Negra",Filo News,W0yLfgivFP4,102.75,640,360,25,interview,argentino/rioplatense_probable,74.03,95.3,98.0,85.21,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|black_frame_rate_alto|face_detect_rate_bajo|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|total_score_alto|asr_espanol_y_habla_confirmados,manual_review,10.38,125.0,low
https://www.youtube.com/watch?v=iq3Kk2OFJI4,Destellos en la oscuridad. Episodio 6. Lucrecia Martel,elDiarioAR,iq3Kk2OFJI4,52.25,640,360,25,monologue,argentino/rioplatense_probable,71.46,98.58,98.0,84.91,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|black_frame_rate_alto|face_detect_rate_bajo|formato_largo|formato_monologue|fuente_argentina_probable|speaker_count_usable|visual_proxy_alto|asr_espanol_y_habla_confirmados,manual_review,7.44,89.0,low
https://www.youtube.com/watch?v=JjBJv0GDR4w,Hernán Casciari: “Se que mi transcendencia va a ser popular” | Caja Negra,Filo News,JjBJv0GDR4w,73.45,640,360,25,interview,argentino/rioplatense_probable,79.71,84.3,98.0,84.75,maybe_review,accept,maybe_review,audio_proxy_suficiente|audio_score_sobre_threshold|black_frame_rate_alto|formato_interview|formato_largo|fuente_argentina_probable|speaker_count_usable|asr_espanol_y_habla_confirmados,manual_review,8.23,99.0,low
https://www.youtube.com/watch?v=_nqNA76G29M,LA CHARLA DEL AÑO: MESSI EN LUZU COMO NUNCA LO VISTE,LUZU TV,_nqNA76G29M,74.9,640,360,30,educational,argentino/rioplatense_probable,74.77,91.51,98.0,84.44,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|formato_educational|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_intermedio|asr_espanol_y_habla_confirmados,manual_review,7.72,93.0,low
https://www.youtube.com/watch?v=G0izzumb2VY,INSTRUCCIÓN EN BASE A LAS COMPETENCIAS AERONÁUTICAS,Sociedad Argentina De Aviacion,G0izzumb2VY,61.883,640,360,30,educational,argentino/rioplatense_probable,81.35,80.25,98.0,84.35,accept,accept,maybe_review,audio_proxy_alto|audio_proxy_intermedio|audio_proxy_suficiente|audio_score_sobre_threshold|formato_educational|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_alto|visual_proxy_suficiente|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,manual_review,11.47,138.0,low
https://www.youtube.com/watch?v=Il9Lb3hl_Nw,Pedro Aznar - Encuentro en el Estudio HD (Completo),Eduardo Mellado Soto,Il9Lb3hl_Nw,56.417,640,360,25,other,argentino/rioplatense_probable,79.82,93.41,80.0,83.93,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|black_frame_rate_alto|formato_largo|fuente_argentina_probable|visual_proxy_intermedio|visual_proxy_suficiente|asr_espanol_y_habla_confirmados,manual_review,7.45,89.0,low
https://www.youtube.com/watch?v=nK1-Zn3LZfQ,#NADIEDICENADA | DÍA HISTÓRICO: ROSALÍA QUE MUJER ¿DEBATE SI ES TOXI O TIENE UN PUNTO?,LUZU TV,nK1-Zn3LZfQ,190.983,640,360,30,streamer,argentino/rioplatense_probable,75.43,94.49,88.0,83.66,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|formato_streamer|fuente_argentina_probable|muchos_hablantes_posible|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados,manual_review,22.64,272.0,medium:samples_incompletos
https://www.youtube.com/watch?v=dSzqoR07F28,"Chino Darín: ""Si hubiera nacido 15 años después, ahora sería streamer"" | Caja Negra",Filo News,dSzqoR07F28,87.433,640,360,25,interview,argentino/rioplatense_probable,79.57,80.6,98.0,83.56,maybe_review,accept,maybe_review,audio_proxy_suficiente|audio_score_sobre_threshold|black_frame_rate_alto|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados,manual_review,13.6,163.0,low
https://www.youtube.com/watch?v=fGw0Lq2kVcs,"¡VIVA LA DIFERENCIA, VIVA LAS TRAVAS, VIVA PERÓN! | FLOR DE LA V con JULIA MENGOLINI",Futurock FM,fGw0Lq2kVcs,50.333,640,360,30,interview,argentino/rioplatense_probable,93.54,80.45,63.0,83.51,strong_accept,accept,maybe_review,audio_proxy_alto|audio_proxy_intermedio|audio_score_sobre_threshold|contexto_incierto|formato_a_evitar_keyword|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_alto|visual_score_sobre_threshold|asr_espanol_y_habla_confirmados,manual_review,13.77,165.0,medium:samples_incompletos
https://www.youtube.com/watch?v=RXivg31DQ28,"Natalia Oreiro: ""Gilda fue el único proyecto donde yo sentí una pérdida cuando terminó"" | Caja Negra",Filo News,RXivg31DQ28,71.283,640,360,25,interview,argentino/rioplatense_probable,77.99,82.7,98.0,83.4,maybe_review,accept,maybe_review,audio_proxy_alto|audio_proxy_suficiente|audio_score_sobre_threshold|black_frame_rate_alto|formato_interview|formato_largo|fuente_argentina_probable|speaker_count_usable|asr_espanol_y_habla_confirmados,manual_review,6.53,78.0,low
https://www.youtube.com/watch?v=ASqvYtA3grM,Conferencia de Cierre — Rita Segato — VI Congreso Latinoamericano y Caribeño de Ciencias Sociales,FLACSO Argentina,ASqvYtA3grM,86.333,640,360,25,educational,argentino/rioplatense_probable,78.82,80.58,98.0,83.18,maybe_review,accept,maybe_review,audio_proxy_suficiente|audio_score_sobre_threshold|formato_educational|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_intermedio|visual_proxy_suficiente|asr_espanol_y_habla_confirmados,manual_review,7.98,96.0,low
https://www.youtube.com/watch?v=ytsu50Ugeow,Entrevista con ALBEREE Y GUARI,Martin Cirio,ytsu50Ugeow,63.167,640,360,25,interview,argentino/rioplatense_probable,68.92,96.83,98.0,83.11,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_intermedio|asr_espanol_y_habla_confirmados,manual_review,0.51,6.0,low
https://www.youtube.com/watch?v=qpG_BeBTvyk,"PREGUNTAS y RESPUESTAS con Nicolás Tagliafico, Leandro Paredes y Lautaro Martínez FT. DAVO y LACOBRA",Coscu,qpG_BeBTvyk,20.05,640,360,30,streamer,argentino/rioplatense_probable,69.63,95.04,98.0,82.93,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|face_detect_rate_bajo|formato_largo|formato_streamer|fuente_argentina_probable|scene_cut_proxy_alto|speaker_count_usable|asr_espanol_y_habla_confirmados,manual_review,1.9,23.0,low
https://www.youtube.com/watch?v=Nn0kxFXDfX4,PACHU PEÑA Y JOSEMA SIN FILTRO EN BLENDER AT NIGHT | #BAT COMPLETO 10/03 | BLENDER,BLENDER,Nn0kxFXDfX4,86.183,640,360,30,interview,argentino/rioplatense_probable,74.59,93.33,88.0,82.89,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|formato_interview|formato_largo|fuente_argentina_probable|muchos_hablantes_posible|scene_cut_proxy_alto|speaker_count_usable|visual_proxy_intermedio|asr_espanol_y_habla_confirmados,manual_review,8.24,99.0,low
https://www.youtube.com/watch?v=2n5Bll7L9p0,Jorge Lanata en el ciclo #1LiderXme​s,Universidad de San Andrés,2n5Bll7L9p0,91.333,640,360,25,other,argentino/rioplatense_probable,78.81,89.32,80.0,82.2,maybe_review,strong_accept,maybe_review,audio_proxy_alto|audio_score_sobre_threshold|formato_largo|fuente_argentina_probable|scene_cut_proxy_alto|visual_proxy_alto|visual_proxy_intermedio|asr_espanol_y_habla_confirmados,manual_review,11.62,139.0,low
