Failed to import Flash Attention, using ESPnet default: No module named 'flash_attn'
train=4818  val=466  batch=1  device=cuda
/home/joacoszterensus/miniconda3/envs/vsr-factors/lib/python3.8/site-packages/espnet2/asr/espnet_model.py:402: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with autocast(self.autocast_frontend, dtype=autocast_type):
ep7 it2600/4818 loss=18.587
ep7 it2700/4818 loss=104.480
ep7 it2800/4818 loss=58.279
ep7 it2900/4818 loss=65.823
ep7 it3000/4818 loss=34.963
ep7 it3100/4818 loss=29.260
ep7 it3200/4818 loss=21.189
ep7 it3300/4818 loss=51.432
ep7 it3400/4818 loss=63.349
ep7 it3500/4818 loss=22.572
ep7 it3600/4818 loss=29.907
ep7 it3700/4818 loss=43.271
ep7 it3800/4818 loss=37.757
ep7 it3900/4818 loss=19.178
ep7 it4000/4818 loss=33.913
ep7 it4100/4818 loss=44.898
ep7 it4200/4818 loss=48.380
ep7 it4300/4818 loss=54.438
ep7 it4400/4818 loss=5.861
ep7 it4500/4818 loss=13.847
ep7 it4600/4818 loss=74.420
ep7 it4700/4818 loss=52.323
ep7 it4800/4818 loss=38.487
== ep7 val_loss=55.6117 ==
ep8 it0/4818 loss=40.966
ep8 it100/4818 loss=12.220
ep8 it200/4818 loss=23.438
ep8 it300/4818 loss=23.537
ep8 it400/4818 loss=28.044
ep8 it500/4818 loss=16.880
ep8 it600/4818 loss=37.854
ep8 it700/4818 loss=38.562
ep8 it800/4818 loss=31.531
ep8 it900/4818 loss=49.763
ep8 it1000/4818 loss=3.405
ep8 it1100/4818 loss=18.127
ep8 it1200/4818 loss=33.017
ep8 it1300/4818 loss=18.569
ep8 it1400/4818 loss=82.310
ep8 it1500/4818 loss=77.773
ep8 it1600/4818 loss=27.207
ep8 it1700/4818 loss=21.791
ep8 it1800/4818 loss=7.994
ep8 it1900/4818 loss=9.556
ep8 it2000/4818 loss=82.047
ep8 it2100/4818 loss=48.851
ep8 it2200/4818 loss=29.877
ep8 it2300/4818 loss=23.201
ep8 it2400/4818 loss=30.055
ep8 it2500/4818 loss=11.783
ep8 it2600/4818 loss=9.684
ep8 it2700/4818 loss=62.539
ep8 it2800/4818 loss=12.462
ep8 it2900/4818 loss=18.358
ep8 it3000/4818 loss=21.493
ep8 it3100/4818 loss=5.791
ep8 it3200/4818 loss=37.642
ep8 it3300/4818 loss=50.646
ep8 it3400/4818 loss=28.359
ep8 it3500/4818 loss=14.242
ep8 it3600/4818 loss=57.239
ep8 it3700/4818 loss=30.679
ep8 it3800/4818 loss=9.273
ep8 it3900/4818 loss=26.503
ep8 it4000/4818 loss=32.028
ep8 it4100/4818 loss=136.363
ep8 it4200/4818 loss=63.336
ep8 it4300/4818 loss=80.846
