url,title,channel,decision,total_score,visual_quality_score,audio_quality_score,context_score,reject_reasons
https://www.youtube.com/watch?v=__SuyDVhvxk,Jacques Rancière en Argentina,UNSAM National University of San Martín Argentina,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:duracion_menor_a_480s|asr_not_run
https://www.youtube.com/watch?v=sVtfMA7mtos,"MARTA FORT habló de todo: OPERACIONES, ROMANCES, compras CULPOSAS y más | #LoDePampita",Infobae,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=HBi7v7A0zd4,"La ENFERMEDAD HOLANDESA, CAMBIOS  en WHATSAPP y LA INTERNA que PARALIZÓ a un PAÍS | 1/7",Infobae,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=YAFIFx6pW8w,"VICKY XIPOLITAKIS: su SEXTO SENTIDO, maternidad, SOLTERÍA y el peor momento que vivió | #LoDePampita",Infobae,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=hkaTYAfWvWc,"Saltó de un avión en llamas, no sabía cómo se llamaba ni tenía conciencia de que estaba viva",Infobae,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=3L6UuwCZris,"Carlos Baute con Tatiana Schapiro: la historia de su fuga a los 11, tras pasar por un liceo militar",Infobae,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=jLl1UgfeQ-0,"“El PERONISMO cambió la HISTORIA argentina"" | Felipe PIGNA mano a mano con Pedro ROSEMBLAT",GELATINA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=TwnvBZu1rSQ,¿CUÁNTO COBRÓ GELATINA por la ENTREVISTA? | Pedro ROSEMBLAT en INDUSTRIA NACIONAL,GELATINA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=9CC7yIrQiHA,EDUARDO FEINMANN: “NÉSTOR KIRCHNER TENÍA DEVOCIÓN CONMIGO” | con PEDRO ROSEMBLAT,GELATINA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=P5T9t3XjPDU,"LUCRECIA MARTEL: ""No hay que tenerle miedo a nuestro tiempo"" | Con Pedro ROSEMBLAT",GELATINA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=k52VA9lpDSg,PEDRO SABORIDO: EL FENÓMENO INDIO SOLARI Y SU IMPACTO EN LA ARGENTINA | BLENDER,BLENDER,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=lyUnTB84vBc,LA TRAMPA MORTAL DE BARREDA | CONFESIONES DE BAR con MAURO SZETA #3 | BLENDER,BLENDER,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=QzYrf-vLE7o,LA MEJOR ENTREVISTA a FABI CANTILO de la HISTORIA (en OLGA),OLGA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=am-M5GIAWcs,ARCÁNGEL en OLGA: ENTREVISTA COMPLETA de TAPADOS DE LABURO,OLGA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=5I40GEybn0U,MARIA BECERRA en OLGA: ENTREVISTA COMPLETA y SHOW en LA CALLE | Tapados de Laburo | COMPLETO 27/03,OLGA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=jxQ86dNjhbo,ACTUAMOS y LLORAMOS con ISABEL MACEDO y PETER LANZANI | Sería Increíble | COMPLETO 7/10,OLGA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=UmqjuzLTXsI,ORIANA SABATINI en EXCLUSIVA: TODO SOBRE SU EMBARAZO | Sería Increíble | COMPLETO 2/10,OLGA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=uLP_fRRvaPU,MAXI HABLÓ de LOS TATUAJES con WANDA | #SeríaIncreíble 19/1,OLGA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=nmgNlokoPe8,ENTREVISTA EXCLUSIVA A LA SIRENITA ROMÁN en OLGA | Sería Increíble | COMPLETO 16/05,OLGA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=Cfbe-2D-r-U,"WANDA NARA CUENTA TODO: AMORES, POLÉMICAS y MASTERCHEF | Sería Increíble | COMPLETO 14/10",OLGA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=cAeIAyv4hZQ,"ENTREVISTA a MARIXA BALLI: ""LO VI A RODRIGO y CUPIDO ME ACRIBILLÓ""",OLGA,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=vt3vXTjEZhM,TRIBUNERO MUNDIALISTA EN MIAMI | #ParenLaMano Mundial 2026 - 02/07 | VORTERIX,Vorterix,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=NR2EQSY-FJ8,#ParenLaMano Completo - 22/04 | Vorterix,Vorterix,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=ctxo1ihthIg,¿QUÉ PASÓ AYER? EL DÍA DESPUÉS DE LAS LEGISLATIVAS | PROGRAMA COMPLETO de SEGUROLA,Futurock FM,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=9SIjdAngFKk,Entrevista a El Kuelgue (Ft. Louta y Malena Pichot) - Futurock en el Festival Buena Vibra,Futurock FM,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=9srHFoiYxBw,¿QUIÉN GOBIERNA LA ARGENTINA? | PROGRAMA COMPLETO de LA PREGUNTA,Futurock FM,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|asr_not_run
https://www.youtube.com/watch?v=g3qRPFiMMrU,CARCA | ENTREVISTA COMPLETA con MATIAS MESSOULAM en LA HORA ANIMADA,Futurock FM,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:musica|asr_not_run
https://www.youtube.com/watch?v=F_WBsjqq_ZM,¿Cómo ven la ARGENTINA los ECONOMISTAS LIBERTARIOS? l CASTIÑEIRA y CARRINO con TENEMBAUM,Radio Con Vos 89.9,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=Tteq2Ttoq8Y,"MEMORIA, VERDAD Y JUSTICIA: LA HISTORIA QUE CONSTRUYÓ LA SOCIEDAD l TENEMBAUM EDITORIAL",Radio Con Vos 89.9,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=rU9RWWTil_Y,"""El gobierno de Milei es el peor de la historia argentina"" l ALBERTO SAMID con TENEMBAUM",Radio Con Vos 89.9,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=OkGm6cIX9GU,EL PERSONAJE DE ALEJANDRO ROZITCHNER l TENEMBAUM EDITORIAL,Radio Con Vos 89.9,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=3fai8ZLfUjk,LA CERO EMPATÍA DE MILEI l TENEMBAUM y SIETECASE,Radio Con Vos 89.9,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=uIYqDknIvaE,ERNESTO TENEMBAUM: “Corté la comunicación con Milei”,Radio Con Vos 89.9,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=-0fIs4jb_DE,"TATA | CAFE JAPON, EL HIJO DEL PUPI, DRAMI NOS ABANDONO Y ENTREVISTA A NAVAJA CRIMEN",Congo,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=hTUpDOL0uxk,"TATA | COMPRAS PARA LA FIESTA , A LAS CHICAS LES CAMBIO LA VOZ Y ARGENTINA 1985 CON MATI LERTORA",Congo,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
https://www.youtube.com/watch?v=1pR8zOu5Lik,TATA DE VERANO | EL MÉTODO GRÖNHOLM Y AMIGAS PRESTADAS CON MARINA BELLATI,Congo,reject,0.0,0.0,0.0,0.0,contexto_incierto|missing_audit_samples|prefilter_reject:rechazo_keyword:tiktok|asr_not_run
